sep=|
Section A Basic Constants I.
No.|Formula|Name|CAS #|Mol. Wt.|Tfp, K|Tb, K|Tc, K|Pc, bar|Vc, cm3/mol|PcVc/RTc|Omega
1|Ar|argon|7440-37-1|39.948|83.80|87.27|150.86|48.98|74.57|0.291|-0.002
2|Br2|bromine|7726-95-6|159.808|265.85|331.90|584.10|103.00|135.00|0.269|0.119
3|BrD|deuterium bromide|13536-59-9|81.918|185.69|206.65|362.00||||
4|BrF3|bromine trifluoride|7787-71-5|136.899|281.92|398.89|600.00|49.90|114.70|0.115|0.413
5|BrF5|bromine pentafluoride|7789-30-2|174.896|212.65|314.31|470.00||||
6|BrH|hydrogen bromide|10035-10-6|80.912|186.34|206.46|363.20|85.10|||0.069
7|CBrClF2|bromochlorodifluoromethane|353-59-3|165.365|113.65|269.20|426.90|42.60|246.00|0.295|0.182
8|CBrF3|bromotrifluoromethane|75-63-8|148.910|105.15|215.41|340.15|39.70|200.00|0.275|0.174
9|CBr2F2|dibromodifluoromethane|75-61-6|209.816|163.05|295.94|471.30|45.30|250.00|0.286|
10|CClF3|chlorotrifluoromethane|75-72-9|104.459|92.00|191.71|301.84|38.73|180.30|0.276|0.175
11|CCl2F2|dichlorodifluoromethane (R-12)|75-71-8|120.913|115.19|243.45|385.10|41.30|217.00|0.280|0.179
12|CCl3F|trichlorofluoromethane (R-11)|75-69-4|137.368|162.69|296.81|471.10|44.72|248.00|0.283|0.195
13|CCI4|tetrachloromethane|56-23-5|153.822|250.33|349.79|556.30|45.57|276.00|0.271|
14|CF4|tetrafluoromethane|75-73-0|88.005|89.55|145.11|227.51|37.45|140.70|0.279|0.177
15|CHBrF2|bromodifluoromethane|1511-62-2|130.920|258.65|257.68|412.00|47.90|167.00|0.234|0.172
16|CHClF2|chlorodifluoromethane (R-22)|75-45-6|86.468|115.73|232.14|369.28|49.86|166.00|0.274|0.221
17|CHCl2F|dichlorofluoromethane|75-43-4|102.923|138.20|281.97|451.52|51.87|196.00|0.271|0.207
18|CHCl3|trichloromethane|67-66-3|119.377|209.74|334.33|536.50|55.00|240.00|0.296|
19|chf3|trifluoromethane (R-23)|75-46-7|70.014|117.96|191.11|298.97|48.36|133.00|0.259|0.267
20|CH2Cl2|dichloromethane|75-09-2|84.932|176.00|312.79|510.00|61.00|||
21|CH2F2|difluoromethane|75-10-5|52.024|137.00|221.43|351.26|58.05|121.00|0.245|0.278
22|ch2o2|methanoic acid (formic acid)|64-18-6|46.026|281.50|374.04|588.00|58.07|||0.316
23|CH3Cl|chloromethane|74-87-3|50.488|175.44|248.95|416.20|66.80|143.00|0.276|0.151
