A.35
Section C Ideal Gas and Liquid Heat Capacities. Cp/R = a0 + a1T + a2T2 + a3T3 + a4T4.
CpIG and Cpliq at 298.15 K, J mol-1 K-1.
No.|Formula|Name|CAS #|Trange, K|a0|a1 X 103|a2 X 105|a3 X 108|a4 X 1011|CpIG|Cpliq
1|Ar|argon|7440-37-1|—|2.500|0.000|0.000|0.000|0.000|20.79|
2|Br2|bromine|7726-95-6|50-1000|3.212|7.160|-1.528|1.445|-0.499|36.05|75.67
3|BrD|deuterium bromide|13536-59-9|50-1000|3.716|-2.318|0.738|-0.717|0.250|29.23|
6|BrH|hydrogen bromide|10035-10-6|50-1000|3.842|-3.098|0.917|-1.032|0.426|29.14|
7|CBrClF2|bromochlorodifluoromethane|353-59-3|100-1000|1.968|36.592|-5.489|4.036|-1.170|74.65|
8|CBrF3|bromotrifluoromethane|75-63-8|100-1000|1.959|30.789|-3.782|2.236|-0.515|69.24|
9|CBr2F2|dibromodifluoromethane|75-61-6|100-1000|2.476|36.115|-5.666|4.368|-1.324|77.02|
10|CClF3|chlorotrifluoromethane|75-72-9|50-1000|2.369|23.861|-1.579|-0.366|0.528|66.87|
11|CCl2F2|dichlorodifluoromethane (R-12)|75-71-8|50-1000|2.185|31.251|-3.724|1.930|-0.323|72.28|119.00
12|CCl3F|trichlorofluoromethane (R-11)|75-69-4|50-1000|2.090|38.890|-6.079|4.542|-1.316|78.09|121.80
13|CCl4|tetrachloromethane|56-23-5|200-1000|2.518|41.882|-7.160|5.739|-1.756|83.43|131.60
14|CF4|tetrafluoromethane|75-73-0|50-1000|2.643|15.383|0.850|-2.940|1.469|61.05|
15|CHBrF2|bromodifluoromethane|1511-62-2|100-1000|3.254|13.871|-0.070|-1.130|0.606|58.76|
16|CHClF2|chlorodifluoromethane (R-22)|75-45-6|50-1000|3.164|10.422|1.179|-2.650|1.222|55.85|110
17|CHCl2F|dichlorofluoromethane|75-43-4|50-1000|2.949|17.130|-0.629|-0.821|0.573|60.94|108
18|CHCl3|trichloromethane|67-66-3|200-1000|2.389|26.218|-3.145|1.857|-0.423|65.40|113.80
19|CHF3|trifluoromethane (R-23)|75-46-7|50-1000|3.450|3.480|3.012|-4.452|1.834|50.98|
20|CH2Cl2|dichloromethane|75-09-2|200-1000|2.710|11.561|0.324|-1.370|0.662|50.88|100.00
21|CH2F2|difluoromethane|75-10-5|50-1000|4.150|-5.584|4.384|-5.160|1.920|42.88|
