Formula	Substance	b0_cm3_gmol	sigma_Angstrom	epsilon_kB_K	cas_no
Ar	Argon	56.08	3.542	93.3	7440-37-1
He	Helium	20.95	2.551	10.22	7440-59-7,71086-78-7
Kr	Krypton	61.62	3.655	178.9	7439-90-9
Ne	Neon	28.3	2.82	32.8	7440-01-9
Xe	Xenon	83.66	4.047	231.0	7440-63-3,20222-53-1
Air	Air	64.5	3.711	78.6	
AsH3	Arsine	89.88	4.145	259.8	7784-42-1
BCl3	Boron chloride	170.1	5.127	337.7	10294-34-5,75507-65-2,37226-51-0
BF3	Boron fluoride	93.35	4.198	186.3	7637-07-2,16045-88-8,15875-25-9
B(OCH3)3	Methyl borate	210.3	5.503	396.7	121-43-7,3349-42-6,63156-11-6,1212-43-7
Br2	Bromine	100.1	4.296	507.9	7726-95-6
CCl4	Carbon tetrachloride	265.5	5.947	322.7	56-23-5
CF4	Carbon tetrafluoride	127.9	4.662	134.0	75-73-0,60346-90-9
CHCl3	Chloroform	197.5	5.389	340.2	67-66-3
CH2Cl2	Methylene chloride	148.3	4.898	356.3	75-09-2
CH3Br	Methyl bromide	88.14	4.118	449.2	74-83-9
CH3Cl	Methyl chloride	92.31	4.182	350.0	74-87-3,2108-20-5
CH3OH	Methanol	60.17	3.626	481.8	67-56-1,170082-17-4,77810-22-1
CH4	Methane	66.98	3.758	148.6	74-82-8,14493-06-2,150036-83-2,8006-14-2,58760-46-6
CO	Carbon monoxide	63.41	3.69	91.7	630-08-0,35907-63-2,147965-81-9
COS	Carbonyl sulfide	88.91	4.13	336.0	463-58-1
CO2	Carbon dioxide	77.25	3.941	195.2	124-38-9,18923-20-1,26796-46-3,2684-00-6
CS2	Carbon disulfide	113.7	4.483	467.0	75-15-0,12539-80-9
C2H2	Acetylene	82.79	4.033	231.8	74-86-2,60382-96-9,12070-15-4
C2H4	Ethylene	91.06	4.163	224.7	74-85-1,87701-65-3
C2H6	Ethane	110.7	4.443	215.7	74-84-0
C2H5Cl	Ethyl chloride	148.3	4.898	300.0	75-00-3,25854-33-5,7371-46-2,25052-55-5
C2H5OH	Ethanol	117.3	4.53	362.6	64-17-5,42845-45-4
C2N2	Cyanogen	104.7	4.361	348.6	460-19-5
CH3OCH3	Methyl ether	100.9	4.307	395.0	115-10-6,157621-61-9
CH2CHCH3	Propylene	129.2	4.678	298.9	115-07-1,90530-12-4,97102-85-7,26063-22-9
CH3CCH	Methylacetylene	136.2	4.761	251.8	74-99-7,7299-37-8,28391-48-2
C3H6	Cyclopropane	140.2	4.807	248.9	75-19-4
C3H8	Propane	169.2	5.118	237.1	74-98-6,130071-47-5,36427-14-2
n-C3H7OH	n-Propyl alcohol	118.8	4.549	576.7	71-23-8,142583-61-7,62309-51-7
CH3COCH3	Acetone	122.8	4.6	560.2	67-64-1
CH3COOCH3	Methyl acetate	151.8	4.936	469.8	79-20-9
n-C4H10	n-Butane	130.0	4.687	531.4	106-97-8
iso-C4H10	Isobutane	185.6	5.278	330.1	75-28-5
C2H5OC2H5	Ethyl ether	231.0	5.678	313.8	60-29-7,667919-88-2
CH3COOC2H5	Ethyl acetate	178.0	5.205	521.3	141-78-6
