Table 1 ref. https://doi.org/10.1016/j.jct.2011.03.011
No.	Substance	Parameters equation (1)						AAD equation (4),(5),(6),(7), %	AAD Reid, %	Experimental Tr range	R
No.	Substance	Tc/K	Pc/kPa	A	B	C	D	AAD equation (4),(5),(6),(7), %	AAD Reid, %	Experimental Tr range	R
1	Methane	190.56	4599.2	-6.02327	1.26769	-0.57154	-1.36722	0.013	0.075	0.476-0.998	a, a
2	Ethane	305.33	4871.8	-6.46829	1.3949	-1.13072	-1.86605	0.014	0.027	0.419-0.95	a, a
3	Ethene	282.35	5041.8	-6.39685	1.40004	-1.16142	-2.08893	0.021		0.40-0.998	a, a
4	Prop-1-ene	365.57	4664.6	-6.68778	1.51093	-1.52612	-2.22561	0.022		0.418-0.978	a, a
5	Propane	369.83	4247.66	-6.7478	1.49121	-1.47048	-2.34287	0.012	0.178	0.458-0.95	a, a
6	Butane	425.13	3796	-7.07309	1.75226	-1.93896	-2.39572	0.012	0.092	0.447-0.96	a, a
7	2-Methylpropane	407.81	3629	-6.89609	1.53762	-1.72907	-2.56103	0.02		0.452-0.953	a, a
8	2-Methylbutane	460.35	3381	-7.22942	1.86124	-2.22293	-2.53506	0.014		0.464-0.951	a, b
9	Pentane	469.7	3370	-7.32714	1.82365	-2.27244	-2.71929	0.01	0.029	0.469-0.958	a, c
10	2,2-Dimethylpropane	433.75	3199	-7.00541	1.73139	-2.13721	-2.40431	0.017		0.593-0.998	a, b
11	2-Methylpentane	497.7	3040	-7.46965	1.8855	-2.52826	-2.86008	0.023		0.453-0.998	a, b
12	Hexane	507.6	3025	-7.55127	1.87731	-2.65481	-2.82797	0.016	0.102	0.48-0.952	a, c
13	Heptane	540.2	2740	-7.81831	1.97953	-2.97139	-3.47579	0.015	0.097	0.493-0.953	a, c
14	Octane	568.7	2490	-8.17614	2.38911	-3.7751	-3.28973	0.024	0.222	0.51-0.951	a, c
15	Nonane	594.6	2290	-8.54008	2.80317	-4.4369	-3.30476	0.025	0.141	0.518-0.96	a, c
16	Decane	617.7	2110	-8.71773	2.74276	-4.61266	-3.76207	0.018	0.095	0.53-0.95	a, c
17	Dodecane	658	1820	-9.13264	2.835	-5.14854	-4.96198	0.045	0.166	0.547-0.95	a, c
18	Cyclopropane	398	5540	-6.56737	1.2794	-1.09437	-2.57424	0.106		0.46-0.98	a, b
19	Cyclohexane	553.5	4073	-7.06301	1.71593	-2.15099	-3.01877	0.036		0.51-0.96	a, c
20	Trichloro-fluoromethane	471.1	4407.64	-6.94144	1.61244	-1.8668	-2.49705	0.053		0.44-1	a, a
21	Dichloro-difluoromethane	385.1	4130	-6.9018	1.59294	-1.73088	-2.55061	0.013		0.44-1	a, a
22	Chloro-trifluoromethane	301.95	3880	-6.94454	1.81401	-2.02675	-2.24611	0.023		0.44-0.98	a, d
23	Dichloro-fluoromethane	451.51	5190	-7.14942	2.07511	-2.78223	-1.57758	0.031		0.44-1	a, d
24	Chloro-difluoromethane	369.25	4990	-7.0682	1.52369	-1.8545	-2.8439	0.018		0.434-1	a, d
25	Trifluoromethane	299	4800	-7.38354	1.775	-2.18878	-2.65041	0.021		0.45-0.99	a, d
26	Difluoromethane	351.25	5783	-7.47701	1.77411	-2.03888	-2.57996	0.017		0.45-1	a, d
27	Fluoromethane	317.4	5870	-6.85116	1.05891	-0.84237	-3.27707	0.078		0.55-1	a, d
28	1,1,2-Trichloro-1,2,2-trifluoroethane	487.21	3410	-7.50092	2.38275	-3.22029	-1.63239	0.062		0.49-0.98	a, d
29	1-Chloro-1,1,2,2,2-pentafluoroethane	353	3130	-7.18485	1.35171	-1.63923	-3.39379	0.046		0.49-0.99	a, d
30	Benzene	562.05	4895	-7.04139	1.58721	-1.8155	-3.90882	0.079	0.054	0.51-1	e, c
31	Methylbenzene	591.75	4108	-7.36648	1.75726	-2.19049	-3.28838	0.071	0.154	0.45-1	a, c
32	1,1,1,2,2,2-Hexafluoroethane	293.02	3040	-7.24219	1.56802	-2.03837	-3.42386	0.016		0.59-0.99	a, d
33	1,1-Dichloro-2,2,2-trifluoroethane	456.85	3670	-7.4994	1.96599	-2.69902	-3.09983	0.029		0.46-1	a, d
34	1-Chloro-1,2,2,2-tetrafluoroethane	395.4	3620	-7.41558	1.69132	-2.46013	-3.22158	0.026		0.46-1	a, d
35	Pentafluoroethane	339.4	3630	-7.45067	1.58369	-2.39547	-3.4683	0.02		0.51-1	a, d
36	1,1,1,2-Tetrafluoroethane	374.18	4055	-7.63242	1.75281	-2.60712	-3.38116	0.014		0.46-0.99	a, d
37	1,1-Dichloro-1-fluoroethane	477.5	4200	-7.0235	1.51329	-1.98237	-3.09941	0.023		0.41-0.99	a, d
38	1-Chloro-1,1-difluroethane	410.28	4050	-7.20987	1.81557	-2.30398	-2.60237	0.028		0.35-1	a, d
39	1,1,1-Trifluoroethane	345.86	3768	-7.42125	1.87662	-2.22706	-2.69432	0.026		0.47-1	a, d
40	1,1-Difluoroethane	386.43	4520	-7.44322	1.78052	-2.1983	-2.74451	0.026		0.4-1	a, d
41	Octafluoropropane	345	2660	-7.93328	2.64991	-3.61407	-2.41872	0.104		0.37-0.99	a, d
42	1,1,1,2,3,3,3-Heptafluoropropane	375.02	2930	-7.70859	1.65274	-2.72079	-4.13594	0.069		0.44-1	a, d
43	1,1,1,2,3,3-Hexafluoropropane	412.44	3420	-8.00499	2.37661	-3.85008	-2.34499	0.096		0.59-0.99	a, d
44	1,1,1,3,3,3-Hexafluoropropane	398.07	3184	-7.88934	1.99799	-3.45051	-3.42918	0.116		0.47-0.99	a, d
45	1,1,2,2,3-Pentafluoropropane	447.57	3925	-7.83961	1.9957	-2.98305	-3.61968	0.017		0.46-0.98	a, d
46	1,1,3,3,3-Pentafluoropropane	427.2	3639	-7.88298	2.04808	-3.56113	-3.3395	0.045		0.47-1	a, d
47	Octafluorocyclobutane	388.45	2781	-7.78036	1.9667	-3.35286	-3.23218	0.006		0.6-1	a, d
48	Decafluorobutane	386.2	2320	-7.78666	1.70373	-2.92895	-4.83193	0.017		0.49-0.99	a, d
49	Dodecafluoropentane	421	2040	-7.86421	1.27497	-3.1854	-6.43075	0.074		0.48-0.98	a, d
50	Nitrogen	126.2	3398	-6.13812	1.30197	-0.81564	-1.71325	0.007	0.088	0.51-1	a, c
51	Hydrogen	33.15	1296.4	-4.8799	0.99311	0.83986	-0.07004	0.026		0.43-1	a, a
52	Oxygen	154.58	5043	-6.06786	1.28743	-0.70862	-1.50937	0.021		0.36-1	a, a
