ref. https://doi.org/10.1016/j.jct.2011.03.011
No.	Substance	Antoine range		Tc	Pc	ω	Wagner equation constants				Experimental range							R
No.	Substance	Tr,min	Tr,max	Tc	Pc	omega	A	B	C	D	AAD this paper	AAD eq (8) etc.	AAD Poling	Tr,min	Pmin/kPa	Tr,max	Pmax/kPa	
1	Xenon	0.54	0.61	289.73	5842	0.00363	−6.1304	1.5798	−0.6889	−2.2093					 	 	 	c, c
2	Oxygen	0.42	0.63	154.58	5043	0.0222	−5.9906	1.1486	−0.6542	−1.4797					 	 	 	a, a
3	Neon	0.55	0.66	44.49	2678.6	−0.0387	−5.7313	1.0673	0.0659	−1.7967					 	 	 	a, a
4	Nitrogen	0.48	0.66	126.2	3398	0.037	−6.1711	1.3053	−0.6432	−2.1753					 	 	 	c, c
5	Krypton	0.53	0.62	209.48	5525	−0.0009	−5.9959	1.2669	−0.3994	−1.684					 	 	 	a, a
6	Hydrazine	0.46	0.63	653.01	14700	0.316	−7.6062	1.6529	−2.3739	−2.0145	0.15	6.47		0.44	1.02	0.53	19.35	c, c
7	Eicosane	0.63	0.85	768	1070	0.865	−10.2035	2.7854	−7.9849	−5.659	0.11	2.91	0.71	0.6	1.01	0.82	120.79	c, c
8	Nonadecane	0.62	0.85	755	1160	0.845	−11.1501	5.221	−9.5182	−5.6611	 	 	 	 	 	 	 	c, c
9	Octadecane	0.61	0.84	747	1290	0.803	−11.1408	5.4617	−9.0647	−5.8684	1.75	3.68	2.23	0.6	1.47	0.79	101.33	c, c
10	Heptadecane	0.59	0.78	736	1340	0.753	−11.4157	6.7026	−9.894	−7.8232	0.79	1.77	1.48	0.59	1.47	0.78	101.33	c, c
11	Hexadecane	0.6	0.82	723	1400	0.718	−9.2677	1.6362	−4.7451	−9.5048	0.16	2.3	0.15	0.64	6.94	0.77	101.33	c, c
12	Pentadecane	0.59	0.81	708	1480	0.685	−9.3148	2.1383	−5.1626	−7.5938	0.15	1.89	0.14	0.63	5.53	0.77	101.33	c, c
13	Tetradecane	0.58	0.81	693	1570	0.644	−9.2869	2.7155	−6.0352	−4.4797	0.15	1.75	0.16	0.62	5.53	0.76	102.85	c, c
14	Anthracene	0.53	0.75	869.3	2870	0.501	−8.2534	0.7523	−1.3405	−0.0088	0.59	6.31	 	0.57	6.4	0.71	98.95	c, c
15	Phenantrene	0.53	0.75	869	2870	0.479	−8.5957	2.1133	−2.9404	−3.0048	1.02	4.27	 	0.55	3.63	0.71	117.84	c, c
16	Tridecane	0.58	0.8	675	1680	0.618	−9.2627	2.7586	−5.4946	−5.0425	0.27	1.44	0.11	0.61	5.53	0.75	102.83	c, c
17	Diphenylmethane	0.54	0.75	760	2710	0.481	−8.7932	2.818	−4.0716	−4.6443	0.76	0.84	 	0.65	32.33	0.73	146.89	c, c
18	Dodecane	0.57	0.79	658	1820	0.576	−9.1271	2.8088	−5.1047	−4.9517	0.08	1.2	 	0.61	6.36	0.75	103.91	c, c
19	Undecane	0.56	0.78	639	1980	0.537	−9.0146	2.8815	−4.7597	−4.9469	0.1	1.17	0.08	0.6	6.95	0.74	104.82	c, c
20	2-Methylnaphtalene	0.51	0.72	761	3540	0.374	−8.117	2.2679	−2.9186	−3.5581	0.07	2.43	 	0.54	5.54	0.7	149.62	c, c
21	1-Metinaphtalene	0.51	0.71	772	3600	0.348	−7.8094	1.9633	−2.9205	−3.364	0.05	0.23	 	0.54	5.52	0.7	161.55	c, c
22	Decan-1-ol	0.57	0.78	687.3	2315	0.661	−9.6647	4.159	−7.4685	−15.0477	0.55	6.53	0.55	0.58	2.66	0.77	177.95	f, c
23	2,2,5,5-Tetramethylhexane	0.53	0.75	581.4	2190	0.377	−7.7419	1.7887	−3.7331	−2.921								b, c
24	2,2,3,3-Tetramethylhexane	0.52	0.74	623	2510	0.366	−8.2481	2.5961	−2.9111	−4.2488								b, c
25	3,3,5-Trimethylheptane	0.53	0.75	609.5	2320	0.383	−8.1055	2.2613	−3.2565	−4.1008								b, c
26	2,2,5-Trimethylheptane	0.53	0.75	598.9	2240	0.398	−7.7171	1.1794	−2.4125	−5.3313								b, c
27	Decane	0.55	0.77	617.7	2110	0.49	−8.624	2.4151	−4.0381	−5.1009	0.06	0.69		0.6	7.65	0.73	103	c, c
28	trans-Bicyclodecane	0.5	0.72	687	3200	0.303	−7.804	2.2606	−2.4436	−4.0468								c, c
29	cis-Bicyclodecane	0.5	0.71	703.6	3200	0.2765	−7.2961	1.6197	−2.5808	−3.3133	0.04	3.15		0.53	5.53	0.7	169.3	c, c
30	1,2,4,5-Tetramethylbenzene	0.52	0.74	676	2900	0.423	−8.2979	2.2586	−3.3854	−3.7268								c, c
31	1-(1-Methylethyl)-4-methylBen	0.52	0.74	652	2800	0.376	−7.7458	1.633	−3.1736	−2.5361								c, c
32	1.4-Diethylbenzene	0.52	0.74	657.9	2803	0.4035	−8.1229	2.0618	−3.1352	−3.928	0.04	0.85		0.56	6.42	0.7	110.69	c, c
33	2-Methylpropylbenzene	0.51	0.73	650	3050	0.38312	−8.298	2.4207	−2.5477	−5.0674	0.06	3.12		0.55	6.42	0.7	126.24	c, c
34	Butylbenzene	0.52	0.74	660.5	2890	0.393	−8.1805	2.3225	−3.3105	−3.9288	0.06	0.82		0.56	6.42	0.7	116.92	c, c
35	Naphtalene	0.49	0.7	748.4	4050	0.304	−7.4717	1.5415	−2.0666	−3.9158	0.18	0.76		0.53	7.06	0.7	201.12	c, c
36	Nonan-1-ol	0.54	0.72	670.7	2528	0.633	−7.1195	−2.4525	0.3898	−23.8559	0.48	8.46	0.51	0.54	0.75	0.73	101.84	f, c
37	2,3,3,4-Tetramethylpentane	0.51	0.73	607.5	2720	0.3116	−7.5974	1.8145	−2.5415	−3.2238	0.83	0.82		0.55	6.4	0.7	132.73	b, c
