sep=|
|||||||||||||Pvpmin,||Pvpmax|
No.|Formula|Name|CAS #|Eq. #|A/A/Tc|B/B/a|C/C/b|Tc/c|to/d|n/Pc|E|F|bar|Tmin, K|bar|Tmax, K
1|Ar|argon|7440-37-1|1|3.74141|304.2270|267.320||||||0.60|82.59|2|94.26
2|Br,|bromine|7726-95-6|1|4.00270|1119.680|221.380||||||0.06|266.00|2|354.25
3|BrD|deuterium bromide|13536-59-9|1|3.28728|505.680|220.600||||||0.30|185.20|2|221.89
4|BrF,|bromine trifluoride|7787-71-5|1|4.85464|1673.950|219.480||||||0.02|309.09|2|421.28
5|BrF,|bromine pentafluoride|7789-30-2|1|4.39858|1219.280|236.400||||||0.02|236.80|2|334.31
6|BrH|hydrogen bromide|10035-10-6|1|3.41243|540.8200|225.440||||||0.30|185.10|2|221.53
7|CBrCIF,|bromochlorodifluoromethane|353-59-3|1|3.95850|933.0400|240.000||||||0.02|198.00|2|288.26
7|CBrCIF,|bromochlorodifluoromethane|353-59-3|2|3.95850|933.0400|240.000|426.90|3|2.26960|-54.789|3324.10|2|288.15|37.06|418.15
8|CBrF,|bromotrifluoromethane|75-63-8|1|3.89640|731.3100|245.700||||||0.02|158.10|2|230.85
8|CBrF,|bromotrifluoromethane|75-63-8|2|3.89640|731.3100|245.700|340.15|-53|2.39700|4.095|941.51|2.2|233.15|34.50|333.15
9|CBr.F,|dibromodifluoromethane|75-61-6|1|4.18780|1 127.430|246.800||||||0.02|217.80|2|316.42
10|CC1F,|chlorotrifluoromethane|75-72-9|1|3.90353|654.6560|249.390||||||0.02|140.61|2|205.48
10|CC1F,|chlorotrifluoromethane|75-72-9|2|3.90353|654.6560|249.390|301.84|-76|2.46214|62.986|-2130.8|2.26|208.15|28.39|288.15
11|CCl.F,|diehlorodifluoromethane (R-12)|75-71-8|1|4.01171|868.0760|246.390||||||0.02|178.77|2|260.70
11|CCl.F,|diehlorodifluoromethane (R-12)|75-71-8|2|4.01171|868.0760|246.390|385.10|-23|3.27101|104.141|-3216.3|2.19|263.15|39.92|383.15
12|CC1,F|trichlorofluoromethane (R-l 11|75-69-4|1|4.00905|1043.313|236.950||||||0.02|218.98|2|317.57
12|CC1,F|trichlorofluoromethane (R-l 11|75-69-4|2|4.00905|1043.313|236.950|471.10|40|2.40860|75.083|-1375.6|2.04|318.15|36.89|458.15
13|CC14|tetrachloromethane|56-23-5|1|4.10445|1265.632|232.148||||||0.02|259.00|2|373.76
14|cf4|tetrafluoromethane|75-73-0|1|3.95894|510.5950|257.200||||||0.02|106.20|2|155.54
14|cf4|tetrafluoromethane|75-73-0|2|3.95894|510.5950|257.200|227.51|-120|2.41377|-93.740|7425.90|2.33|158.15|28.37|218.15
15|CHBrF,|bromodifluoromethane|1511-62-2|1|3.40030|640.3200|204.100||||||0.02|194.50|2|275.65
15|CHBrF,|bromodifluoromethane|1511-62-2|2|3.40030|640.3200|204.130|412.00|-9|0.98620|189.780|-6582.6|1.88|273.15|44.70|403.15
16|CHC1F,|ehlorodifluoromethane (R-22)|75-45-6|1|4.13253|835.4620|243.460||||||0.02|173.13|2|247.74
16|CHC1F,|ehlorodifluoromethane (R-22)|75-45-6|2|4.13253|836.4620|243.460|369.28|-30|2.76007|37.609|-369.26|2.01|248.15|48.82|368.15
17|CHC1.F|dichlorofluoromethane|75-43-4|1|4.02473|959.9340|230.030||||||0.02|210.83|2|300.91
17|CHC1.F|dichlorofluoromethane|75-43-4|2|4.02473|959.9340|230.030|451.52|12|2.55869|9.610|574.28|2.15|303.15|45.58|443.15
18|CHC1,|trichloro methane|67-66-3|1|3.96288|1106.904|218.552||||||0.02|250.10|2|356.89
19|CHF,|trifluoromethane (R-23)|75-46-7|1|4.22140|707.3960|249.840||||||0.02|142.79|2|203.75
19|CHF,|trifluoromethane (R-23)|75-46-7|2|4.22140|707.3960|249.840|298.97|-70|2.79148|70.243|2833.00|2.48|208.15|36.91|288.15
20|CH.Cl,|dichloromethane|75-09-2|1|4.07622|1070.070|223.240||||||0.02|235.20|2|333.36
21|CH.F,|difluoromethane|75-10-5|1|4.29712|833.1370|245.860||||||0.02|166.23|2|235.78
21|CH.F,|difluoromethane|75-10-5|2|4.29712|833.1370|245.860|351.36|-40|2.48212|61.006|-747.43|2.22|238.15|43.87|338.15
22|CH.O,|methanoie aeid (formic acid)|64-18-6|3|588.00|-7.24917|0.44255|-0.35558|-0.96906|58.07|||||58.07|588.00
23|CH,C1|chloromethane|74-87-3|1|4.16533|920.8600|245.580||||||0.02|184.60|2|265.87
24|CH,F|fluoromethane|593-53-3|1|4.19421|734.2220|253.570||||||0.02|144.17|2|208.17
24|CH,F|fluoromethane|593-53-3|2|4.19421|734.2220|253.570|317.36|-73|2.60926|57.676|-1868.2|2.52|213.15|53.67|313.15
26|ch4|methane|74-82-8|1|3.76870|395.7440|266.681||||||0.15|92.64|2|120.59
26|ch4|methane|74-82-8|3|190.551|-6.02242|1.26652|-0.5707|-1.366|45.992|||||45.99|190.55
