,Substance,Formula,refrigerant,cas_no,5,10,50,100,250,500,1000,2000,5000,10000,A,B,C,D
0,xenon,Xe,,"7440-63-3,20222-53-1",,,,,,,-108.3,-95.3,-74.2,-54.5,-6.00659,1.37325,-0.77703,-1.22529
1,Krypton,Kr,,7439-90-9,,,,,,,-153.6,-144.0,-128.5,-114.0,-5.98396,1.34334,-0.66521,-1.30012
2,Argon,Ar,,7440-37-1,,,,,,,-186.0,-178.9,-167.4,-156.6,-5.92801,1.21982,-0.53967,-1.52312
3,Neon,Ne,,7440-01-9,,,,,,-248.2,-246.1,-243.6,-239.5,-235.6,-5.74238,1.0886,-0.05896,-1.19851
4,Helium,He,,"7440-59-7,71086-78-7",,,-271.0,-270.7,-270.1,-269.6,-268.9,-268.1,,,-4.06856,1.04379,1.11594,0.08835
5,Air,,,,,,,,-204.8,-200.0,-194.4,-187.8,-177.0,-167.0,-5.35069,-0.21537,0.93623,-3.02641
6,Hydrogen,H2,,"1333-74-0,12184-90-6",,,,-258.5,-256.6,-254.9,-252.8,-250.3,-246.0,-241.8,-4.83622,0.942,0.7665,-0.47071
7,Nitrogen,N2,,7727-37-9,,,,,-206.0,-201.3,-195.9,-189.5,-179.2,-169.4,-6.12498,1.26499,-0.76765,-1.78173
8,Oxygen,O2,,7782-44-7,-214.6,-211.9,-204.4,-200.5,-194.5,-189.2,-183.1,-175.9,-164.3,-153.5,-6.05148,1.23506,-0.62883,-1.61288
9,Sulfur,S,,"7704-34-9,9035-99-8,56996-94-2",211.7,232.1,287.9,316.6,360.3,398.8,443.3,495.5,579.7,657.9,-15.68872,19.60608,-12.56687,1.67046
10,Fluorine,F2,,7782-41-4,-217.2,-214.7,-207.8,-204.2,-198.7,-193.8,-188.2,-181.7,-171.2,-161.4,-6.27045,1.53939,-1.25605,-1.27235
11,Chlorine,Cl2,,"7782-50-5,81859-29-2",,,-85.8,-76.2,-61.7,-48.9,-34.3,-17.4,9.6,34.5,-6.43911,1.48278,-1.21184,-2.02926
12,Bromine,Br2,,7726-95-6,,,,2.4,21.9,38.9,58.3,80.8,116.5,149.1,-6.76024,1.50339,-0.64097,-3.62166
13,Iodine,I2,,"7553-56-2,12190-71-5,8031-47-8",,,,,134.5,157.5,183.8,214.3,262.8,307.5,-6.98158,2.33987,-1.4809,-3.73441
14,Hydrogen fluoride,HF,,"7664-39-3,32057-09-3,37249-79-9,12381-92-9",,-75.2,-48.4,-35.2,-15.7,0.8,19.2,39.7,71.0,98.3,-9.73172,5.07747,-2.98832,5.51671
