Überdruck Absolutdruck Siedetemperatur Wasser Sattdampf Verdampfung Wasser Sattdampf
p[barg] p[bara] t[°C] h[kJ/kg] h[kJ/kg] r[kJ/kg] ρ[kg/m³] ρ[kg/m³]
9.000000000000000222e-01 1.000000000000000056e-01 4.579999999999999716e+01 1.918000000000000114e+02 2.583900000000000091e+03 2.392099999999999909e+03 9.897999999999999545e+02 6.819999999999999674e-02
8.000000000000000444e-01 2.000000000000000111e-01 6.010000000000000142e+01 2.514000000000000057e+02 2.608900000000000091e+03 2.357500000000000000e+03 9.831000000000000227e+02 1.307999999999999996e-01
6.999999999999999556e-01 2.999999999999999889e-01 6.909999999999999432e+01 2.891999999999999886e+02 2.624599999999999909e+03 2.335300000000000182e+03 9.782999999999999545e+02 1.912999999999999978e-01
5.999999999999999778e-01 4.000000000000000222e-01 7.590000000000000568e+01 3.176000000000000227e+02 2.636099999999999909e+03 2.318500000000000000e+03 9.742999999999999545e+02 2.504000000000000115e-01
5.000000000000000000e-01 5.000000000000000000e-01 8.129999999999999716e+01 3.405000000000000000e+02 2.645199999999999818e+03 2.304699999999999818e+03 9.710000000000000000e+02 3.085999999999999854e-01
4.000000000000000222e-01 5.999999999999999778e-01 8.590000000000000568e+01 3.598000000000000114e+02 2.652900000000000091e+03 2.293000000000000000e+03 9.680000000000000000e+02 3.660999999999999810e-01
2.999999999999999889e-01 6.999999999999999556e-01 8.990000000000000568e+01 3.766999999999999886e+02 2.659400000000000091e+03 2.282699999999999818e+03 9.653999999999999773e+02 4.228999999999999981e-01
2.000000000000000111e-01 8.000000000000000444e-01 9.350000000000000000e+01 3.916000000000000227e+02 2.665199999999999818e+03 2.273500000000000000e+03 9.628999999999999773e+02 4.791000000000000258e-01
1.000000000000000056e-01 9.000000000000000222e-01 9.670000000000000284e+01 4.051000000000000227e+02 2.670300000000000182e+03 2.265199999999999818e+03 9.607000000000000455e+02 5.349000000000000421e-01
0.000000000000000000e+00 1.000000000000000000e+00 9.959999999999999432e+01 4.173999999999999773e+02 2.674900000000000091e+03 2.257500000000000000e+03 9.586000000000000227e+02 5.903000000000000469e-01
1.000000000000000056e-01 1.100000000000000089e+00 1.022999999999999972e+02 4.288000000000000114e+02 2.679199999999999818e+03 2.250400000000000091e+03 9.567000000000000455e+02 6.452999999999999847e-01
2.000000000000000111e-01 1.199999999999999956e+00 1.047999999999999972e+02 4.393000000000000114e+02 2.683099999999999909e+03 2.243800000000000182e+03 9.548999999999999773e+02 7.000999999999999446e-01
2.999999999999999889e-01 1.300000000000000044e+00 1.070999999999999943e+02 4.491000000000000227e+02 2.686599999999999909e+03 2.237500000000000000e+03 9.531000000000000227e+02 7.544999999999999485e-01
4.000000000000000222e-01 1.399999999999999911e+00 1.092999999999999972e+02 4.583999999999999773e+02 2.690000000000000000e+03 2.231599999999999909e+03 9.515000000000000000e+02 8.085999999999999854e-01
5.000000000000000000e-01 1.500000000000000000e+00 1.114000000000000057e+02 4.671000000000000227e+02 2.693099999999999909e+03 2.226000000000000000e+03 9.498999999999999773e+02 8.625000000000000444e-01
5.999999999999999778e-01 1.600000000000000089e+00 1.132999999999999972e+02 4.753000000000000114e+02 2.696000000000000000e+03 2.220699999999999818e+03 9.483999999999999773e+02 9.162000000000000144e-01
6.999999999999999556e-01 1.699999999999999956e+00 1.150999999999999943e+02 4.831999999999999886e+02 2.698800000000000182e+03 2.215599999999999909e+03 9.470000000000000000e+02 9.697000000000000064e-01
8.000000000000000444e-01 1.800000000000000044e+00 1.169000000000000057e+02 4.906999999999999886e+02 2.701400000000000091e+03 2.210699999999999818e+03 9.456000000000000227e+02 1.022999999999999909e+00
9.000000000000000222e-01 1.899999999999999911e+00 1.185999999999999943e+02 4.978000000000000114e+02 2.703900000000000091e+03 2.206099999999999909e+03 9.442000000000000455e+02 1.076100000000000056e+00
1.000000000000000000e+00 2.000000000000000000e+00 1.202000000000000028e+02 5.046999999999999886e+02 2.706199999999999818e+03 2.201599999999999909e+03 9.428999999999999773e+02 1.129000000000000004e+00
1.500000000000000000e+00 2.500000000000000000e+00 1.274000000000000057e+02 5.353999999999999773e+02 2.716500000000000000e+03 2.181199999999999818e+03 9.370000000000000000e+02 1.391399999999999970e+00
2.000000000000000000e+00 3.000000000000000000e+00 1.335000000000000000e+02 5.615000000000000000e+02 2.724900000000000091e+03 2.163400000000000091e+03 9.317999999999999545e+02 1.650700000000000056e+00
2.500000000000000000e+00 3.500000000000000000e+00 1.389000000000000057e+02 5.842999999999999545e+02 2.732000000000000000e+03 2.147699999999999818e+03 9.271000000000000227e+02 1.907699999999999951e+00
3.000000000000000000e+00 4.000000000000000000e+00 1.435999999999999943e+02 6.047000000000000455e+02 2.738099999999999909e+03 2.133300000000000182e+03 9.228999999999999773e+02 2.162700000000000067e+00
3.500000000000000000e+00 4.500000000000000000e+00 1.479000000000000057e+02 6.232000000000000455e+02 2.743400000000000091e+03 2.120199999999999818e+03 9.190000000000000000e+02 2.415999999999999925e+00
4.000000000000000000e+00 5.000000000000000000e+00 1.518000000000000114e+02 6.402000000000000455e+02 2.748099999999999909e+03 2.107900000000000091e+03 9.152999999999999545e+02 2.668099999999999916e+00
4.500000000000000000e+00 5.500000000000000000e+00 1.555000000000000000e+02 6.558999999999999773e+02 2.752300000000000182e+03 2.096500000000000000e+03 9.117999999999999545e+02 2.918899999999999828e+00
5.000000000000000000e+00 6.000000000000000000e+00 1.588000000000000114e+02 6.705000000000000000e+02 2.756099999999999909e+03 2.085599999999999909e+03 9.086000000000000227e+02 3.168800000000000061e+00
6.000000000000000000e+00 7.000000000000000000e+00 1.650000000000000000e+02 6.971000000000000227e+02 2.762699999999999818e+03 2.065599999999999909e+03 9.026000000000000227e+02 3.666199999999999903e+00
7.000000000000000000e+00 8.000000000000000000e+00 1.704000000000000057e+02 7.210000000000000000e+02 2.768300000000000182e+03 2.047299999999999955e+03 8.970000000000000000e+02 4.160999999999999588e+00
8.000000000000000000e+00 9.000000000000000000e+00 1.754000000000000057e+02 7.427000000000000455e+02 2.773000000000000000e+03 2.030299999999999955e+03 8.918999999999999773e+02 4.653900000000000148e+00
9.000000000000000000e+00 1.000000000000000000e+01 1.799000000000000057e+02 7.627000000000000455e+02 2.777099999999999909e+03 2.014400000000000091e+03 8.871000000000000227e+02 5.145400000000000418e+00
1.000000000000000000e+01 1.100000000000000000e+01 1.840999999999999943e+02 7.812000000000000455e+02 2.780699999999999818e+03 1.999500000000000000e+03 8.826000000000000227e+02 5.635799999999999699e+00
1.100000000000000000e+01 1.200000000000000000e+01 1.880000000000000000e+02 7.985000000000000000e+02 2.783800000000000182e+03 1.985299999999999955e+03 8.782999999999999545e+02 6.125600000000000378e+00
1.200000000000000000e+01 1.300000000000000000e+01 1.915999999999999943e+02 8.147999999999999545e+02 2.786500000000000000e+03 1.971700000000000045e+03 8.742999999999999545e+02 6.614899999999999558e+00
1.300000000000000000e+01 1.400000000000000000e+01 1.950000000000000000e+02 8.301000000000000227e+02 2.788900000000000091e+03 1.958799999999999955e+03 8.703999999999999773e+02 7.103900000000000325e+00
1.400000000000000000e+01 1.500000000000000000e+01 1.983000000000000114e+02 8.447000000000000455e+02 2.791000000000000000e+03 1.946299999999999955e+03 8.666000000000000227e+02 7.592900000000000205e+00
1.500000000000000000e+01 1.600000000000000000e+01 2.014000000000000057e+02 8.586000000000000227e+02 2.792900000000000091e+03 1.934299999999999955e+03 8.631000000000000227e+02 8.082000000000000739e+00
1.600000000000000000e+01 1.700000000000000000e+01 2.043000000000000114e+02 8.718999999999999773e+02 2.794500000000000000e+03 1.922599999999999909e+03 8.596000000000000227e+02 8.571300000000000807e+00
1.700000000000000000e+01 1.800000000000000000e+01 2.070999999999999943e+02 8.846000000000000227e+02 2.796000000000000000e+03 1.911400000000000091e+03 8.562000000000000455e+02 9.061099999999999710e+00
