t ps ρ′ ρ″ h′ h″ s′ s″ cp′ cp″ av′ av″
°C bar kg*m-3 kg*m-3 kJ*kg-1 kJ*kg-1 kJ*kg-1*K-1 kJ*kg-1*K-1 kJ*kg-1*K-1 kJ*kg-1*K-1 10-3*K-1 10-3*K-1
0.00 0.006112 999.79 0.004851 -0.041588 2500.9 -0.000155 9.1558 4.220 1.888 -0.06807 3.681
0.01 0.006117 999.79 0.004854 0.000612 2500.9 0.000000 9.1555 4.220 1.888 -0.06789 3.681
5.00 0.008726 999.92 0.006802 21.019 2510.1 0.076252 9.0249 4.205 1.892 0.0160 3.618
10.00 0.012282 999.65 0.009407 42.021 2519.2 0.15109 8.8998 4.196 1.896 0.0879 3.559
15.00 0.017057 999.05 0.01284 62.984 2528.4 0.22447 8.7804 4.189 1.900 0.1507 3.501
20.00 0.023392 998.16 0.01731 83.920 2537.5 0.29650 8.6661 4.185 1.906 0.2065 3.447
25.00 0.031697 997.00 0.02307 104.84 2546.5 0.36726 8.5568 4.182 1.912 0.2568 3.395
30.00 0.042467 995.61 0.03041 125.75 2555.6 0.43679 8.4521 4.180 1.918 0.3028 3.346
35.00 0.056286 994.00 0.03967 146.64 2564.6 0.50517 8.3518 4.179 1.925 0.3453 3.298
40.00 0.073844 992.18 0.05124 167.54 2573.5 0.57243 8.2557 4.179 1.932 0.3849 3.254
45.00 0.095944 990.18 0.06556 188.44 2582.5 0.63862 8.1634 4.179 1.940 0.4222 3.211
50.00 0.12351 988.01 0.08314 209.34 2591.3 0.70379 8.0749 4.180 1.948 0.4574 3.171
55.00 0.15761 985.67 0.10455 230.24 2600.1 0.76798 7.9899 4.181 1.957 0.4910 3.133
60.00 0.19946 983.18 0.13042 251.15 2608.8 0.83122 7.9082 4.183 1.966 0.5232 3.098
65.00 0.25041 980.53 0.16145 272.08 2617.5 0.89354 7.8296 4.185 1.976 0.5542 3.064
70.00 0.31201 977.75 0.19842 293.02 2626.1 0.95499 7.7540 4.188 1.987 0.5841 3.033
75.00 0.38595 974.83 0.24218 313.97 2634.6 1.0156 7.6812 4.192 1.999 0.6133 3.005
80.00 0.47415 971.78 0.29366 334.95 2643.0 1.0754 7.6110 4.196 2.012 0.6417 2.979
85.00 0.57867 968.60 0.35387 355.95 2651.3 1.1344 7.5434 4.200 2.026 0.6696 2.955
90.00 0.70182 965.30 0.42388 376.97 2659.5 1.1927 7.4781 4.205 2.042 0.6970 2.934
95.00 0.84609 961.89 0.50489 398.02 2667.6 1.2502 7.4150 4.211 2.059 0.7241 2.916
100.00 1.0142 958.35 0.59814 419.10 2675.6 1.3070 7.3541 4.217 2.077 0.7510 2.901
110.00 1.4338 950.95 0.82686 461.36 2691.1 1.4187 7.2380 4.230 2.121 0.8044 2.880
120.00 1.9867 943.11 1.1220 503.78 2705.9 1.5278 7.1291 4.246 2.174 0.8580 2.871
130.00 2.7026 934.83 1.4968 546.39 2720.1 1.6346 7.0264 4.265 2.237 0.9124 2.876
140.00 3.6150 926.13 1.9665 589.20 2733.4 1.7393 6.9293 4.286 2.311 0.9683 2.894
150.00 4.7610 917.01 2.5478 632.25 2745.9 1.8420 6.8370 4.310 2.396 1.026 2.927
160.00 6.1814 907.45 3.2593 675.57 2757.4 1.9428 6.7491 4.338 2.492 1.087 2.975
170.00 7.9205 897.45 4.1217 719.21 2767.9 2.0419 6.6649 4.369 2.599 1.152 3.038
180.00 10.026 887.01 5.1583 763.19 2777.2 2.1395 6.5841 4.406 2.716 1.222 3.117
190.00 12.550 876.08 6.3948 807.57 2785.3 2.2358 6.5060 4.447 2.846 1.297 3.214
200.00 15.547 864.67 7.8603 852.39 2792.1 2.3308 6.4303 4.494 2.990 1.379 3.332
210.00 19.074 852.73 9.5875 897.73 2797.4 2.4248 6.3565 4.548 3.150 1.469 3.474
220.00 23.193 840.23 11.614 943.64 2801.1 2.5178 6.2842 4.611 3.328 1.570 3.643
230.00 27.968 827.12 13.984 990.21 2803.0 2.6102 6.2131 4.683 3.528 1.683 3.845
240.00 33.467 813.36 16.748 1037.5 2803.1 2.7019 6.1425 4.767 3.755 1.811 4.085
250.00 39.759 798.89 19.965 1085.7 2801.0 2.7934 6.0722 4.865 4.012 1.958 4.372
260.00 46.921 783.62 23.710 1134.8 2796.6 2.8847 6.0017 4.981 4.308 2.130 4.717
270.00 55.028 767.46 28.072 1185.1 2789.7 2.9762 5.9304 5.119 4.655 2.334 5.137
280.00 64.165 750.27 33.163 1236.7 2779.8 3.0681 5.8578 5.286 5.070 2.580 5.658
290.00 74.416 731.91 39.128 1289.8 2766.6 3.1608 5.7832 5.492 5.581 2.886 6.316
300.00 85.877 712.14 46.162 1344.8 2749.6 3.2547 5.7058 5.752 6.223 3.274 7.167
310.00 98.647 690.67 54.529 1402.0 2727.9 3.3506 5.6243 6.088 7.051 3.785 8.297
320.00 112.84 667.08 64.616 1462.1 2700.7 3.4491 5.5373 6.541 8.157 4.483 9.858
330.00 128.58 640.78 77.018 1525.7 2666.2 3.5516 5.4425 7.189 9.738 5.504 12.16
340.00 146.00 610.68 92.731 1594.4 2622.1 3.6599 5.3359 8.217 12.24 7.186 15.89
350.00 165.29 574.69 113.62 1670.9 2563.6 3.7783 5.2109 10.10 16.64 10.36 22.66
360.00 186.66 527.84 143.99 1761.5 2481.0 3.9164 5.0527 14.87 27.57 18.81 39.74
370.00 210.43 450.03 202.18 1892.6 2333.5 4.1142 4.7996 47.10 93.40 79.65 148.0
373.00 218.13 395.81 248.68 1974.1 2227.6 4.2377 4.6299 231.9 401.1 435.7 679.1
373.946 220.64 322.00 322.00 2087.5 2087.5 4.4120 4.4120 nan nan nan nan
